ACCOUNT_ID,CUSTOMER_ID,BRANCH_ID,OPENING_BALANCE,ACCOUNT_OPEN_DATE,ACCOUNT_TYPE,ACCOUNT_STATUS
A00001,C00001,B00019,520482,2014-03-01,Savings,Pending
A00002,C00002,B00038,268824,2018-09-24,Fixed Deposit,Active
A00003,C00003,B00041,589218,2021-03-24,Savings,Active
A00004,C00004,B00021,202917,2017-11-15,Checking,Closed
A00005,C00005,B00049,426326,2015-11-28,Savings,Closed
A00006,C00006,B00010,908163,2020-09-03,Fixed Deposit,Active
A00007,C00007,B00001,316236,2018-11-28,Savings,Active
A00008,C00008,B00008,580292,2020-07-17,Fixed Deposit,Pending
A00009,C00009,B00044,796905,2016-06-10,Fixed Deposit,Closed
A00010,C00010,B00028,548251,2016-11-12,Checking,Active
A00011,C00011,B00038,151556,2014-08-24,Fixed Deposit,Pending
A00012,C00012,B00005,346915,2019-10-27,Fixed Deposit,Active
A00013,C00013,B00040,514817,2022-10-25,Savings,Closed
A00014,C00014,B00045,209619,2017-12-17,Checking,Closed
A00015,C00015,B00020,449096,2018-05-22,Checking,Active
A00016,C00016,B00002,109965,2022-05-06,Savings,Active
A00017,C00017,B00012,980234,2015-05-01,Fixed Deposit,Closed
A00018,C00018,B00024,9555,2019-04-24,Savings,Pending
A00019,C00019,B00026,280956,2023-05-21,Savings,Pending
A00020,C00020,B00032,431701,2017-09-16,Fixed Deposit,Closed
A00021,C00021,B00050,291275,2015-06-30,Savings,Active
A00022,C00022,B00036,715192,2018-12-07,Checking,Pending
A00023,C00023,B00007,445213,2020-11-06,Fixed Deposit,Pending
A00024,C00024,B00037,80929,2015-02-02,Savings,Pending
A00025,C00025,B00011,115300,2021-11-19,Checking,Closed
A00026,C00026,B00008,544120,2017-10-31,Fixed Deposit,Closed
A00027,C00027,B00002,682344,2021-03-26,Fixed Deposit,Pending
A00028,C00028,B00024,494665,2014-08-30,Savings,Pending
A00029,C00029,B00044,158241,2016-04-25,Fixed Deposit,Closed
A00030,C00030,B00042,483914,2019-11-23,Checking,Closed
A00031,C00031,B00021,581636,2015-09-30,Checking,Pending
A00032,C00032,B00029,844500,2022-12-30,Checking,Closed
A00033,C00033,B00024,241118,2017-04-08,Fixed Deposit,Closed
A00034,C00034,B00039,763411,2022-06-03,Checking,Closed
A00035,C00035,B00017,113477,2020-03-12,Checking,Active
A00036,C00036,B00050,392673,2022-01-03,Fixed Deposit,Closed
A00037,C00037,B00044,164673,2019-06-14,Fixed Deposit,Pending
A00038,C00038,B00020,848499,2014-01-08,Fixed Deposit,Active
