TRANSCATION_ID,ACCOUNT_ID,TRANSCATION_DATE,TRANSCATION_MEDIA,TRANSCATION_TYPE,TRANSCATION_AMOUNT
T00001,A00866,2013-12-15,Credit_Card,Deposit,37615
T00002,A00106,2018-08-21,Debit_Card,Transfer,9212
T00003,A00233,2020-12-25,Check,Deposit,62526
T00004,A00848,2021-10-01,Credit_Card,Transfer,90070
T00005,A00404,2018-09-06,Cash,Deposit,80153
T00006,A00454,2016-06-21,Credit_Card,Purchase,83494
T00007,A00209,2019-02-01,Check,Deposit,38459
T00008,A00073,2022-12-16,Debit_Card,Withdrawal,18833
T00009,A00435,2023-06-21,Check,Deposit,68093
T00010,A00138,2013-10-31,Credit_Card,Deposit,40054
T00011,A00431,2015-09-27,Cash,Deposit,67999
T00012,A00503,2020-03-20,Cash,Transfer,2954
T00013,A00602,2016-02-11,Cash,Withdrawal,79523
T00014,A00654,2019-03-12,Check,Transfer,22836
T00015,A00522,2021-01-27,Cash,Deposit,98807
T00016,A00141,2018-11-30,Cash,Deposit,16137
T00017,A00020,2020-02-25,Cash,Deposit,13178
T00018,A00039,2020-09-03,Credit_Card,Withdrawal,62300
T00019,A00936,2022-07-20,Check,Withdrawal,79008
T00020,A00985,2020-11-12,Debit_Card,Transfer,79844
T00021,A00554,2016-07-26,Credit_Card,Transfer,47680
T00022,A00435,2022-06-24,Check,Purchase,96755
T00023,A00641,2020-11-28,Cash,Purchase,77031
T00024,A00351,2016-03-13,Check,Withdrawal,13215
T00025,A00324,2018-02-19,Credit_Card,Withdrawal,85743
T00026,A00602,2016-11-02,Credit_Card,Transfer,15343
T00027,A00653,2017-09-09,Cash,Transfer,17366
T00028,A00071,2022-08-16,Check,Deposit,54493
T00029,A00118,2021-05-02,Debit_Card,Transfer,68698
T00030,A00797,2016-05-11,Cash,Deposit,62443
T00031,A00214,2015-05-19,Debit_Card,Purchase,22676
T00032,A00572,2016-05-18,Check,Deposit,77451
T00033,A00557,2018-09-23,Check,Purchase,31990
T00034,A00441,2018-08-14,Credit_Card,Transfer,10477
T00035,A00655,2014-04-17,Debit_Card,Transfer,975
T00036,A00503,2013-12-02,Cash,Deposit,68811
T00037,A00720,2014-12-21,Credit_Card,Purchase,98904
T00038,A00651,2015-10-30,Debit_Card,Transfer,81315
T00039,A00614,2020-11-22,Debit_Card,Purchase,97602
T00040,A00408,2019-07-19,Debit_Card,Withdrawal,34129
T00041,A00777,2021-07-27,Cash,Transfer,8959
T00042,A00061,2017-12-20,Debit_Card,Withdrawal,81527
T00043,A00917,2019-06-01,Debit_Card,Purchase,54999
T00044,A00010,2016-10-18,Check,Transfer,71553
T00045,A00642,2014-05-30,Cash,Withdrawal,69827
T00046,A00188,2015-05-21,Credit_Card,Deposit,27651
T00047,A00215,2020-12-29,Check,Withdrawal,8789
T00048,A00685,2017-02-27,Cash,Deposit,6786
T00049,A00918,2017-03-18,Credit_Card,Purchase,84895
T00050,A00588,2018-05-13,Cash,Deposit,43257
T00051,A00909,2015-07-21,Credit_Card,Transfer,38413
T00052,A00908,2021-04-22,Cash,Deposit,73747
T00053,A00625,2017-07-23,Cash,Transfer,27466
T00054,A00240,2021-08-03,Credit_Card,Purchase,27991
T00055,A00036,2022-09-06,Cash,Transfer,52431
T00056,A00714,2022-03-10,Debit_Card,Withdrawal,31092
T00057,A00273,2018-04-18,Debit_Card,Purchase,18168
T00058,A00789,2019-10-31,Debit_Card,Transfer,73265
T00059,A00538,2020-02-29,Cash,Deposit,85390
T00060,A00481,2016-04-07,Cash,Withdrawal,70490
T00061,A00427,2019-09-06,Debit_Card,Purchase,73411
T00062,A00443,2016-06-26,Cash,Deposit,58359
T00063,A00077,2020-03-23,Cash,Withdrawal,41843
T00064,A00825,2023-04-05,Credit_Card,Withdrawal,44716
T00065,A00479,2018-02-06,Debit_Card,Withdrawal,54011
T00066,A00864,2021-05-18,Credit_Card,Purchase,2460
T00067,A00381,2021-08-27,Credit_Card,Deposit,10623
T00068,A00296,2016-03-20,Check,Withdrawal,77426
T00069,A00367,2016-07-14,Debit_Card,Transfer,6561
T00070,A00807,2014-01-10,Debit_Card,Deposit,24799
T00071,A00165,2021-12-23,Debit_Card,Withdrawal,89377
